7793;7787_year;691_year;1645;4185_year;7179;4757_year;1960_year;685;688;452;2770_year;sex;5984_year;A000217;681_year;562_year;6777;4347;832;6783_year;4136;7179_year;matr;7794;7948_year;A001130_year;A000642;832_year;562;2619_year;eta_iscr;A000643;7795;1960;A000639_year;6783;2504;191_year;452_year;pond;4185;A000637;2504_year;7945;4757;6776;7787;1638_year;991_year;5238_year;191;4590;6806;4136_year;7946;A000638_year;7949_year;A000218_year;8251_year;7942;688_year;2540;7795_year;1645_year;4485;4590_year;7794_year;2384;933_year;A001130;A000217_year;6777_year;A000642_year;685_year;7793_year;A000212;7942_year;2540_year;2106;4543_year;A001131;4347_year;933;4543;2384_year;4508_year;A001131_year;A000213;A000216_year;3_year;A000636_year;644;4508;676;A000637_year;4485_year;A000213_year;8251;5971;7947_year;584_year;644_year;A000212_year;3882_year;A000495_year;5971_year;991;3882;3;2619;595_year;A000636;7945_year;A000495;676_year;A000638;7947;7949;6776_year;5238;1638;A000643_year;584;691;7946_year;595;A000218;2770;A000216;681;7948;2106_year;6806_year;A000639;5984;;_year;5133;5133_year;1808;1808_year
30.0;;1;;1;30.0;;;;;28.0;3;F;;;2;2;;;;;;1;477037;28.0;;;;;30.0;3;18;;;;;;;2;2;27.65;;;1;23.0;;;;2;2;1;26.0;30.0;;;30.0;;;;;22.0;;;;;24.0;3;2;24.0;1;;;;;;2;;1;;;;;;24.0;;1;;;;;;;30.0;;30.0;;3;;;;;;2;;1;;1;28.0;;;30.0;3;;3;;1;;;;;;30.0;;;30.0;3;27.0;;30.0;;28.0;;;;;;;1.0;;;;
;;1;;1;27.0;;;;;30.0;3;F;;;2;2;;;;;;1;479841;28.0;;;;;30.0;3;19;;;;;;;2;2;26.57;;;1;22.0;;;;2;2;1;28.0;24.0;;;27.0;;;;2;18.0;;;;;30.0;3;2;29.0;1;;;;;;;;1;;;;;;26.0;;1;;;;;;;30.0;;28.0;;3;;30.0;;;;2;;1;;1;26.0;;;26.0;3;;3;;1;;;;;;27.0;;;25.0;3;27.0;;27.0;;27.0;;;;;;;1.0;;;;
;2;1;;1;30.0;;;;;30.0;3;F;;;2;2;;;;;;1;479169;;;;;;30.0;3;20;;30.0;;;;;2;2;29.8;;;1;30.0;;;30.0;2;2;1;30.0;30.0;;;30.0;;;;;28.0;;;2;;30.0;3;;30.0;1;;;;;;;;1;;;;;;28.0;;1;;;;;;;;;30.0;;3;;;;;;;;1;;1;30.0;;;30.0;3;;3;;1;;;;;;30.0;;;30.0;3;30.0;;30.0;;30.0;;;;;;;;30.0;1.0;;
;;;;;;;;;;;;F;;;;;;;;;;;479169;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;1;;1;30.0;;;;;30.0;3;F;;;2;2;;30.0;;;;1;480830;;;;;;28.0;3;18;;;;;;;2;2;29.15;;;;28.0;;;;2;2;1;30.0;30.0;;;28.0;;;;;30.0;;;;;30.0;3;;30.0;1;;;;;;1;;1;;;;;1;30.0;;1;;;;;;;;;30.0;;3;;;;;;;;1;;1;30.0;;;30.0;3;;3;;1;;;;;;30.0;;;24.0;3;30.0;;30.0;;28.0;;;;;;;1.0;;;28.0;1.0
;;;;;;;;;;;;F;;;;;;;;;;;480830;;;;;;;;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;2;;1;25.0;;;;;30.0;4;F;;;3;3;;30.0;;;;2;471449;;;;;;30.0;4;19;;;;;;;3;3;27.46;;;1;25.0;;;;3;3;1;30.0;22.0;;;28.0;;;;3;18.0;;;;;30.0;4;;28.0;2;;;;;;3;;2;;;;;3;30.0;;2;;;;;;;;;28.0;;4;;30.0;;;;;;2;;1;30.0;;;26.0;4;;4;;2;;;;;;30.0;;;28.0;4;30.0;;30.0;;21.0;;;;;;;1.0;;;;
;;;;;;;;;;;;F;;;;;;;;;;;471449;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.0;;1;;1;20.0;;;;;30.0;3;F;;;2;2;;30.0;;;;1;480374;;;;;;30.0;3;19;;;;;;;2;2;27.24;;;1;25.0;;;;2;2;1;25.0;25.0;;;28.0;;;;;28.0;;;;;30.0;3;;24.0;1;;;;;;2;;1;;;;;2;30.0;;1;;;;;;;;;28.0;;3;;;;;2;;;1;;1;30.0;;;26.0;3;;3;;1;;;;;;28.0;;27.0;25.0;3;27.0;;30.0;;28.0;;;;;;;;;;;
;;1;;1;30.0;;;;;30.0;3;F;;;2;2;;;;;;1;479124;30.0;;;;;30.0;3;19;;;;;;;2;2;29.43;;;1;26.0;;;;2;2;1;30.0;30.0;;;30.0;;;;;28.0;;;;;30.0;3;2;30.0;1;;;;;;;;1;;;;;;28.0;;1;2;;;;;;30.0;30.0;30.0;;3;;;;;;2;;1;;1;28.0;;;30.0;3;;3;;1;;;;;;30.0;;;30.0;3;30.0;;30.0;;30.0;;;;;;;1.0;;;;
