ad_id;anno_esame;ses_id;num_iscritti
7010;2014;1;0
7011;2014;4;5
7011;2017;1;0
7011;2017;1;0
7011;2015;4;8
7011;2018;3;6
7011;2018;2;19
7011;2018;3;5
7011;2018;4;1
7011;2015;3;9
7011;2015;3;15
7011;2015;2;8
7011;2017;2;0
7011;2021;5;0
7011;2015;1;0
7011;2015;1;2
7011;2016;4;0
7011;2016;3;9
7011;2016;3;6
7011;2018;1;0
7011;2018;1;0
7011;2019;3;0
7011;2019;3;0
7011;2019;2;5
7011;2021;1;2
7011;2021;1;3
7011;2021;1;0
7011;2016;2;16
7011;2016;2;20
7011;2019;2;33
7011;2020;4;3
7011;2017;3;6
7011;2017;4;3
7011;2017;2;1
7011;2017;3;4
7011;2019;1;0
7011;2014;2;27
7011;2014;3;6
7011;2014;2;6
7011;2014;3;14
7011;2015;5;0
7011;2016;1;3
7011;2016;1;0
7011;2017;2;31
7011;2020;2;0
7011;2020;3;2
7011;2020;2;5
7011;2020;2;13
7011;2020;4;4
10248;2014;4;12
10248;2017;1;11
10248;2017;1;11
10248;2015;4;6
10248;2018;5;1
10248;2020;1;6
10248;2020;1;3
10248;2020;1;8
10248;2015;2;7
10248;2015;3;3
10248;2015;3;11
10248;2017;2;7
10248;2017;2;10
10248;2018;3;5
10248;2018;3;5
10248;2018;4;12
10248;2018;2;4
10248;2018;2;13
10248;2021;5;6
10248;2015;1;12
10248;2015;1;13
10248;2016;4;12
10248;2016;3;9
10248;2016;3;15
10248;2018;1;7
10248;2018;1;5
10248;2019;5;1
10248;2019;4;6
10248;2021;1;0
10248;2021;1;0
10248;2021;1;0
10248;2014;1;6
10248;2016;2;7
10248;2016;2;7
10248;2019;2;2
10248;2019;3;5
10248;2019;2;9
10248;2019;3;2
10248;2020;4;1
10248;2014;2;12
10248;2014;3;7
10248;2014;1;29
10248;2014;1;7
10248;2014;2;11
10248;2014;3;5
10248;2017;3;4
10248;2017;4;14
10248;2017;3;6
10248;2019;1;23
10248;2019;1;8
10249;2014;4;0
10249;2017;1;14
10249;2017;1;9
10249;2020;1;0
10249;2020;1;0
10249;2015;2;0
10249;2015;3;0
10249;2017;2;7
10249;2017;2;3
10249;2018;2;0
10249;2018;4;0
10249;2018;3;0
10249;2018;2;0
10249;2018;3;0
10249;2021;2;38
10249;2021;5;0
10249;2015;1;29
10249;2015;1;12
10249;2016;3;0
10249;2016;3;0
10249;2016;4;0
10249;2018;1;31
10249;2018;1;2
10249;2021;1;1
10249;2021;1;0
10249;2021;1;1
10249;2016;2;1
10249;2016;2;1
10249;2019;2;3
10249;2019;2;0
10249;2019;3;0
10249;2019;3;0
10249;2020;4;0
10249;2014;3;2
10249;2014;1;35
10249;2014;1;8
10249;2014;2;2
10249;2014;3;1
10249;2017;3;1
10249;2017;3;0
10249;2017;4;0
10249;2019;1;30
10249;2019;1;5
10249;2016;1;7
10249;2016;1;35
10249;2020;1;0
10249;2020;2;0
10249;2020;5;39
10249;2020;5;2
10249;2020;2;0
10250;2014;4;8
10250;2017;1;8
10250;2017;1;19
10250;2015;4;4
10250;2015;2;17
10250;2015;3;2
10250;2015;3;10
10250;2017;2;4
10250;2018;2;4
10250;2018;2;1
10250;2018;3;3
10250;2018;4;1
10250;2021;2;3
10250;2021;5;3
10250;2015;1;25
10250;2015;1;4
10250;2017;2;1
10250;2016;4;5
10250;2016;3;4
10250;2016;3;7
10250;2018;1;22
10250;2018;1;11
10250;2021;1;2
10250;2021;1;3
10250;2021;1;2
10250;2014;1;2
10250;2016;2;19
10250;2016;2;7
10250;2019;3;0
10250;2019;2;6
10250;2019;3;0
10250;2019;2;3
10250;2020;4;0
10250;2014;2;15
10250;2014;3;3
10250;2014;3;8
10250;2014;1;31
10250;2014;1;3
10250;2014;2;4
10250;2017;3;1
10250;2017;3;0
10250;2017;4;1
10250;2019;1;4
10250;2019;1;26
10250;2015;5;0
10250;2016;1;2
10250;2016;1;22
10250;2020;2;8
10250;2020;3;4
10250;2020;2;10
3180;2014;4;10
3180;2020;1;0
3180;2020;1;1
3180;2020;1;1
3180;2015;2;33
3180;2015;3;5
3180;2015;3;7
3180;2017;2;7
3180;2018;2;35
3180;2018;2;0
3180;2018;3;2
3180;2018;3;0
3180;2018;1;1
3180;2018;4;3
3180;2020;2;34
3180;2020;2;14
3180;2020;2;2
3180;2015;1;0
3180;2015;1;0
3180;2016;3;10
3180;2016;4;1
3180;2016;3;7
3180;2019;4;1
3180;2016;2;12
3180;2016;2;23
3180;2019;2;34
3180;2019;2;6
3180;2019;3;1
3180;2019;3;2
3180;2020;4;1
3180;2014;3;26
3180;2014;3;7
3180;2014;2;28
3180;2017;3;4
3180;2017;3;6
3180;2017;4;2
3180;2019;1;3
3180;2019;1;1
3180;2017;2;25
3180;2020;5;1
3180;2020;3;1
3180;2020;4;1
10252;2014;4;5
10252;2017;1;4
10252;2017;1;4
10252;2015;4;2
10252;2015;2;29
10252;2015;3;8
10252;2015;3;6
10252;2018;3;0
10252;2018;3;1
10252;2018;4;0
10252;2018;2;20
10252;2018;2;17
10252;2021;5;0
10252;2015;1;5
10252;2015;1;0
10252;2017;2;9
10252;2017;2;11
10252;2016;4;10
10252;2016;3;9
10252;2016;3;17
10252;2018;1;1
10252;2018;1;0
10252;2021;1;2
10252;2021;1;0
10252;2021;1;2
10252;2014;1;0
10252;2016;2;3
10252;2016;2;16
10252;2019;3;0
10252;2019;2;4
10252;2019;2;31
10252;2019;3;0
10252;2016;1;2
10252;2016;1;1
10252;2017;4;3
10252;2017;3;4
10252;2017;3;2
10252;2019;1;0
10252;2019;1;0
10252;2020;2;6
10252;2020;2;18
10252;2020;2;9
10252;2020;4;4
10252;2020;3;5
10252;2014;3;7
10252;2014;2;11
10252;2014;2;16
